zipcode_cluster,brewery_name,Brewery License,License Date,Status,brewery_in_production,brewery_id,brewery_address,brewery_city,brewery_state,brewery_zipcode,brewery_lat,brewery_lng,beer_count,rating_count,rating_score,age_on_service,neighboring_zips,checkins_total_count,checkins_unique_count,checkins_monthly_count,checkins_weekly_count
1,Cellarman’s Pub & Brewery,Brewpub,4/25/2017,Open,0,381643,2130 Texoma Pkwy,Sherman,TX,75020,33.6619,-96.5995,21,817,3.689,630.8666551,"7,509,075,414",952,264,49,0
2,Central District Brewing,Brewpub,11/9/2018,Open,0,148155,417 Red River St,Austin,TX,78701,30.2651,-97.7373,24,2195,3.687,1915.096285,"7,871,278,702",2571,876,374,56
2,Cibolo Creek Brewing Co.,Brewpub,9/14/2015,Open,0,131905,488 S Main St,Boerne,TX,78006,29.7897,-98.7297,158,5221,3.856,1921.152569,"7,801,578,255",6831,1502,82,0
4,Circle Brewing Co.,Brewpub,4/24/2018,Open,0,7620,"2340 W Braker Ln., Suite B",Austin,TX,78758,30.3911,-97.7159,32,37349,3.618,3194.963044,"7,875,978,727",50226,21147,248,8
4,City Acre Brewing,Brewpub,3/1/2013,Open,0,17811,3418 Topping Street,Houston,TX,77093,29.857,-95.3351,117,8349,3.726,2928.365174,"7,701,677,076",10571,2473,130,6
5,Community Beer Company,Brewery,2/1/2013,Open,0,48372,1530 Inspiration Dr,Dallas,TX,75207,32.7909,-96.8158,213,198836,3.799,2511.176181,"7,520,175,270",302335,89057,2354,46
1,Compadre Brewing,Brewpub,11/9/2018,Open,0,429867,16920 Joe Barbee Dr Bldg 1,Pflugerville,TX,78728,30.47,-97.6646,18,955,3.587,182.0392477,"7,866,478,727",1157,308,44,0
1,Copperhead Brewery,Brewpub,7/12/2018,Open,0,162786,822 N. Frazier St,Conroe,TX,77301,30.3167,-95.4633,41,24753,3.902,1844.779826,"7,730,477,384",34612,11451,458,48
5,Cowtown Brewing Co.,Brewpub,9/17/2018,Open,0,305104,1301 E Belknap St,Fort Worth,TX,76102,32.762,-97.324,23,8538,3.761,1106.252662,"7,611,176,104",10945,3020,591,98
3,Cranky Britches Brewing Co.,Brewpub,1/11/2018,Open,0,74833,1675 Dickinson Ave. Ste. C,Dickinson,TX,77573,29.4855,-95.0471,42,1053,4.045,2281.893183,"7,753,977,565",1233,446,1,0
2,Cycler's Brewing,Brewpub,7/30/2018,Open,0,42771,12684 FM 149 Rd,Montgomery,TX,77356,30.3642,-95.6964,35,13197,3.587,2568.343808,"7,731,677,318",17489,8581,52,0
5,Cypress Creek Southern Ales,Brewery,8/18/2017,Open,0,340519,200 E Carnegie St,Winnsboro,TX,75494,32.9558,-95.2895,47,1481,4.22,900.9994792,"7,547,175,480",2801,186,96,0
5,DeadBeach Brewery,Brewpub,9/11/2014,Open,0,234073,406 S Durango St,El Paso,TX,79901,31.7554,-106.492,151,9617,3.752,1459.83765,"7,990,279,903",11752,3340,123,0
5,Deep Ellum Brewing Company,Brewery,3/17/2017,Open,0,11028,2823 St Louis st,Dallas,TX,75226,32.7808,-96.7817,67,291639,3.737,3107.833657,"7,524,675,202",442715,126022,3172,99
1,Denton County Brewing Company,Brewpub,4/21/2016,Open,0,178455,200 E McKinney St,Denton,TX,76201,33.2148,-97.1331,103,6105,3.874,1764.852222,"7,620,976,205",7492,2145,229,4
3,Dirty Job Brewing,Brewery,5/4/2017,Open,0,226688,117 N. Main St,Mansfield,TX,76063,32.5643,-97.1422,51,2875,3.423,1502.888275,"7,600,176,002",3417,726,17,0
4,Division Brewing,Brewpub,8/10/2015,Open,0,198462,506 E. Main,Arlington,TX,76010,32.7363,-97.1022,159,20935,3.882,1656.334317,"7,601,176,006",27131,4107,305,12
2,Dodging Duck Brewhaus,Brewpub,2/5/2002,Open,0,7514,402 River Road,Boerne,TX,78006,29.7899,-98.7259,147,4409,3.661,3197.973032,"7,801,578,255",5310,1546,55,0
5,Dorćol Distilling + Brewing Co.,Brewery,9/24/2015,Open,0,292601,"1902 S Flores St,",San Antonio,TX,78204,29.4057,-98.5023,27,6002,3.698,1161.893993,"7,820,778,205",7532,4001,125,6
5,Double Horn Brewing Company,Brewpub,4/13/2011,Open,0,13415,208 Avenue H,Marble Falls,TX,78654,30.5711,-98.2767,65,5512,3.644,3042.863634,"7,865,778,639",6856,2570,45,2
